Id,Username,Firstname,Lastname,Displayname,Jobtitle,Department,Officenumber,Officephone,Mobilephone,Fax,Address,City,State Or Province,Zip Or Postal Code,Country Or Region
1000283,Keith.Cook@kronos.com,Keith,Cook,,Financial Analyst,Accounting And Finance,123529,123-555-1289,123-555-6724,123-555-9904,Microsoft Way,Redmond,Wa,98126,United States
1000284,Christian.Rogers@kronos.com,Christian,Rogers,,Financial Analyst,Accounting And Finance,123530,123-555-1290,123-555-6725,123-555-9905,Microsoft Way,Redmond,Wa,98127,United States
1000285,Roger.Gutierrez@kronos.com,Roger,Gutierrez,,Financial Analyst,Accounting And Finance,123531,123-555-1291,123-555-6726,123-555-9906,Microsoft Way,Redmond,Wa,98128,United States
1000286,Noah.Ortiz@kronos.com,Noah,Ortiz,,Financial Analyst,Accounting And Finance,123532,123-555-1292,123-555-6727,123-555-9907,Microsoft Way,Redmond,Wa,98129,United States
1000287,Gerald.Morgan@kronos.com,Gerald,Morgan,,Financial Analyst,Accounting And Finance,123533,123-555-1293,123-555-6728,123-555-9908,Microsoft Way,Redmond,Wa,98130,United States
1000288,Carl.Cooper@kronos.com,Carl,Cooper,,Financial Analyst,Accounting And Finance,123534,123-555-1294,123-555-6729,123-555-9909,Microsoft Way,Redmond,Wa,98131,United States
1000289,Terry.Peterson@kronos.com,Terry,Peterson,,Financial Analyst,Accounting And Finance,123535,123-555-1295,123-555-6730,123-555-9910,Microsoft Way,Redmond,Wa,98132,United States
1000290,Sean.Bailey@kronos.com,Sean,Bailey,,Financial Analyst,Accounting And Finance,123536,123-555-1296,123-555-6731,123-555-9911,Microsoft Way,Redmond,Wa,98133,United States
1000291,Austin.Reed@kronos.com,Austin,Reed,,Financial Analyst,Accounting And Finance,123537,123-555-1297,123-555-6732,123-555-9912,Microsoft Way,Redmond,Wa,98134,United States
1000292,Arthur.Kelly@kronos.com,Arthur,Kelly,,Financial Analyst,Accounting And Finance,123538,123-555-1298,123-555-6733,123-555-9913,Microsoft Way,Redmond,Wa,98135,United States
1000293,Lawrence.Howard@kronos.com,Lawrence,Howard,,Financial Analyst,Accounting And Finance,123539,123-555-1299,123-555-6734,123-555-9914,Microsoft Way,Redmond,Wa,98136,United States
1000294,Jesse.Ramos@kronos.com,Jesse,Ramos,,Financial Analyst,Accounting And Finance,123540,123-555-1300,123-555-6735,123-555-9915,Microsoft Way,Redmond,Wa,98137,United States
1000295,Dylan.Kim@kronos.com,Dylan,Kim,,Financial Analyst,Accounting And Finance,123541,123-555-1301,123-555-6736,123-555-9916,Microsoft Way,Redmond,Wa,98138,United States
1000296,Bryan.Cox@kronos.com,Bryan,Cox,,Financial Analyst,Accounting And Finance,123542,123-555-1302,123-555-6737,123-555-9917,Microsoft Way,Redmond,Wa,98139,United States
1000297,Joe.Ward@kronos.com,Joe,Ward,,Financial Analyst,Accounting And Finance,123543,123-555-1303,123-555-6738,123-555-9918,Microsoft Way,Redmond,Wa,98140,United States
1000298,Jordan.Richardson@kronos.com,Jordan,Richardson,,Financial Analyst,Accounting And Finance,123544,123-555-1304,123-555-6739,123-555-9919,Microsoft Way,Redmond,Wa,98141,United States
1000299,Billy.Watson@kronos.com,Billy,Watson,,Financial Analyst,Accounting And Finance,123545,123-555-1305,123-555-6740,123-555-9920,Microsoft Way,Redmond,Wa,98142,United States
1000300,Bruce.Brooks@kronos.com,Bruce,Brooks,,Financial Analyst,Accounting And Finance,123546,123-555-1306,123-555-6741,123-555-9921,Microsoft Way,Redmond,Wa,98143,United States
1000301,Albert.Chavez@kronos.com,Albert,Chavez,,Financial Analyst,Accounting And Finance,123547,123-555-1307,123-555-6742,123-555-9922,Microsoft Way,Redmond,Wa,98144,United States
1000302,Willie.Wood@kronos.com,Willie,Wood,,Product Specialist,Marketing,123548,123-555-1308,123-555-6743,123-555-9923,Microsoft Way,Redmond,Wa,98145,United States
1000303,Gabriel.James@kronos.com,Gabriel,James,,Product Specialist,Marketing,123549,123-555-1309,123-555-6744,123-555-9924,Microsoft Way,Redmond,Wa,98146,United States
1000304,Logan.Bennet@kronos.com,Logan,Bennet,,Product Specialist,Marketing,123550,123-555-1310,123-555-6745,123-555-9925,Microsoft Way,Redmond,Wa,98147,United States
1000305,Alan.Gray@kronos.com,Alan,Gray,,Product Specialist,Marketing,123551,123-555-1311,123-555-6746,123-555-9926,Microsoft Way,Redmond,Wa,98148,United States
1000306,Juan.Mendoza@kronos.com,Juan,Mendoza,,Product Specialist,Marketing,123552,123-555-1312,123-555-6747,123-555-9927,Microsoft Way,Redmond,Wa,98149,United States
1000307,Wayne.Ruiz@kronos.com,Wayne,Ruiz,,Product Specialist,Marketing,123553,123-555-1313,123-555-6748,123-555-9928,Microsoft Way,Redmond,Wa,98150,United States
1000308,Roy.Hughes@kronos.com,Roy,Hughes,,Product Specialist,Marketing,123554,123-555-1314,123-555-6749,123-555-9929,Microsoft Way,Redmond,Wa,98151,United States
1000309,Ralph.Price@kronos.com,Ralph,Price,,Product Specialist,Marketing,123555,123-555-1315,123-555-6750,123-555-9930,Microsoft Way,Redmond,Wa,98152,United States
1000310,Randy.Alvarez@kronos.com,Randy,Alvarez,,Product Specialist,Marketing,123556,123-555-1316,123-555-6751,123-555-9931,Microsoft Way,Redmond,Wa,98153,United States
1000311,Eugene.Castillo@kronos.com,Eugene,Castillo,,Product Specialist,Marketing,123557,123-555-1317,123-555-6752,123-555-9932,Microsoft Way,Redmond,Wa,98154,United States
1000312,Vincent.Sanders@kronos.com,Vincent,Sanders,,Product Specialist,Marketing,123558,123-555-1318,123-555-6753,123-555-9933,Microsoft Way,Redmond,Wa,98155,United States
1000313,Russell.Patel@kronos.com,Russell,Patel,,Product Specialist,Marketing,123559,123-555-1319,123-555-6754,123-555-9934,Microsoft Way,Redmond,Wa,98156,United States
1000314,Elijah.Myers@kronos.com,Elijah,Myers,,Product Specialist,Marketing,123560,123-555-1320,123-555-6755,123-555-9935,Microsoft Way,Redmond,Wa,98157,United States
1000315,Louis.Long@kronos.com,Louis,Long,,Product Specialist,Marketing,123561,123-555-1321,123-555-6756,123-555-9936,Microsoft Way,Redmond,Wa,98158,United States
1000316,Bobby.Ross@kronos.com,Bobby,Ross,,Product Specialist,Marketing,123562,123-555-1322,123-555-6757,123-555-9937,Microsoft Way,Redmond,Wa,98159,United States
1000317,Philip.Foster@kronos.com,Philip,Foster,,Product Specialist,Marketing,123563,123-555-1323,123-555-6758,123-555-9938,Microsoft Way,Redmond,Wa,98160,United States
1000318,Johnny.Jimenez@kronos.com,Johnny,Jimenez,,Product Specialist,Marketing,123564,123-555-1324,123-555-6759,123-555-9939,Microsoft Way,Redmond,Wa,98161,United States
1000319,Mary.Smith@kronos.com,Mary,Smith,,Product Specialist,Marketing,123565,123-555-1325,123-555-6760,123-555-9940,Microsoft Way,Redmond,Wa,98162,United States
1000320,Patricia.Jones@kronos.com,Patricia,Jones,,Marketing Manager,Marketing,123566,123-555-1326,123-555-6761,123-555-9941,Microsoft Way,Redmond,Wa,98163,United States
1000321,Jennifer.Williams@kronos.com,Jennifer,Williams,,Marketing Manager,Marketing,123567,123-555-1327,123-555-6762,123-555-9942,Microsoft Way,Redmond,Wa,98164,United States
1000322,Linda.Taylor@kronos.com,Linda,Taylor,,Marketing Manager,Marketing,123568,123-555-1328,123-555-6763,123-555-9943,Microsoft Way,Redmond,Wa,98165,United States
1000323,Elizabeth.Brown@kronos.com,Elizabeth,Brown,,Marketing Manager,Marketing,123569,123-555-1329,123-555-6764,123-555-9944,Microsoft Way,Redmond,Wa,98166,United States
1000324,Barbara.Davies@kronos.com,Barbara,Davies,,Marketing Manager,Marketing,123570,123-555-1330,123-555-6765,123-555-9945,Microsoft Way,Redmond,Wa,98167,United States
1000325,Susan.Evans@kronos.com,Susan,Evans,,Marketing Manager,Marketing,123571,123-555-1331,123-555-6766,123-555-9946,Microsoft Way,Redmond,Wa,98168,United States
1000326,Jessica.Wilson@kronos.com,Jessica,Wilson,,Marketing Manager,Marketing,123572,123-555-1332,123-555-6767,123-555-9947,Microsoft Way,Redmond,Wa,98169,United States
1000327,Sarah.Thomas@kronos.com,Sarah,Thomas,,Marketing Manager,Marketing,123573,123-555-1333,123-555-6768,123-555-9948,Microsoft Way,Redmond,Wa,98170,United States
1000328,Karen.Johnson@kronos.com,Karen,Johnson,,Marketing Manager,Marketing,123574,123-555-1334,123-555-6769,123-555-9949,Microsoft Way,Redmond,Wa,98171,United States
1000329,Nancy.Roberts@kronos.com,Nancy,Roberts,,Marketing Manager,Marketing,123575,123-555-1335,123-555-6770,123-555-9950,Microsoft Way,Redmond,Wa,98172,United States
1000330,Lisa.Robinson@kronos.com,Lisa,Robinson,,Marketing Manager,Marketing,123576,123-555-1336,123-555-6771,123-555-9951,Microsoft Way,Redmond,Wa,98173,United States
1000331,Betty.Thompson@kronos.com,Betty,Thompson,,Marketing Manager,Marketing,123577,123-555-1337,123-555-6772,123-555-9952,Microsoft Way,Redmond,Wa,98174,United States
1000332,Margaret.Wright@kronos.com,Margaret,Wright,,Software Engineer,Information Technology,123578,123-555-1338,123-555-6773,123-555-9953,Microsoft Way,Redmond,Wa,98175,United States
1000333,Sandra.Walker@kronos.com,Sandra,Walker,,Software Engineer,Information Technology,123579,123-555-1339,123-555-6774,123-555-9954,Microsoft Way,Redmond,Wa,98176,United States
1000334,Ashley.White@kronos.com,Ashley,White,,Software Engineer,Information Technology,123580,123-555-1340,123-555-6775,123-555-9955,Microsoft Way,Redmond,Wa,98177,United States
1000335,Kimberly.Edwards@kronos.com,Kimberly,Edwards,,Software Engineer,Information Technology,123581,123-555-1341,123-555-6776,123-555-9956,Microsoft Way,Redmond,Wa,98178,United States
1000336,Emily.Hughes@kronos.com,Emily,Hughes,,Software Engineer,Information Technology,123582,123-555-1342,123-555-6777,123-555-9957,Microsoft Way,Redmond,Wa,98179,United States
1000337,Donna.Green@kronos.com,Donna,Green,,Software Engineer,Information Technology,123583,123-555-1343,123-555-6778,123-555-9958,Microsoft Way,Redmond,Wa,98180,United States
1000338,Michelle.Hall@kronos.com,Michelle,Hall,,Software Engineer,Information Technology,123584,123-555-1344,123-555-6779,123-555-9959,Microsoft Way,Redmond,Wa,98181,United States
1000339,Dorothy.Lewis@kronos.com,Dorothy,Lewis,,Software Engineer,Information Technology,123585,123-555-1345,123-555-6780,123-555-9960,Microsoft Way,Redmond,Wa,98182,United States
1000340,Carol.Harris@kronos.com,Carol,Harris,,Software Engineer,Information Technology,123586,123-555-1346,123-555-6781,123-555-9961,Microsoft Way,Redmond,Wa,98183,United States
1000341,Amanda.Clarke@kronos.com,Amanda,Clarke,,Database Administrator,Information Technology,123587,123-555-1347,123-555-6782,123-555-9962,Microsoft Way,Redmond,Wa,98184,United States
1000342,Melissa.Patel@kronos.com,Melissa,Patel,,Database Administrator,Information Technology,123588,123-555-1348,123-555-6783,123-555-9963,Microsoft Way,Redmond,Wa,98185,United States
1000343,Deborah.Jackson@kronos.com,Deborah,Jackson,,Database Administrator,Information Technology,123589,123-555-1349,123-555-6784,123-555-9964,Microsoft Way,Redmond,Wa,98186,United States
1000344,Stephanie.Wood@kronos.com,Stephanie,Wood,,Database Administrator,Information Technology,123590,123-555-1350,123-555-6785,123-555-9965,Microsoft Way,Redmond,Wa,98187,United States
1000345,Rebecca.Turner@kronos.com,Rebecca,Turner,,Database Administrator,Information Technology,123591,123-555-1351,123-555-6786,123-555-9966,Microsoft Way,Redmond,Wa,98188,United States
1000346,Sharon.Martin@kronos.com,Sharon,Martin,,Database Administrator,Information Technology,123592,123-555-1352,123-555-6787,123-555-9967,Microsoft Way,Redmond,Wa,98189,United States
1000347,Laura.Cooper@kronos.com,Laura,Cooper,,Database Administrator,Information Technology,123593,123-555-1353,123-555-6788,123-555-9968,Microsoft Way,Redmond,Wa,98190,United States
1000348,Cynthia.Hill@kronos.com,Cynthia,Hill,,Database Administrator,Information Technology,123594,123-555-1354,123-555-6789,123-555-9969,Microsoft Way,Redmond,Wa,98191,United States
